"depth","Fraction","cc_variant","Plot","OC_Frac","OC_Frac_pc","cc_variant.fal","OC_Frac.fal","OC_Frac_pc.fal","OC_ratio.pc","OC_ratio.fal"
"0-10 cm","<1","Oat","14",15.3579601906833,75.5969597063776,"Fallow",13.9923762099287,69.9648186593361,109.759485881931,105.632141047041
"0-10 cm","<1","Oat","22",17.6943217296936,75.9121198395648,"Fallow",13.9923762099287,69.9648186593361,126.456875259958,105.947301180229
"0-10 cm","<1","Clover","13",14.4836964136781,72.5077288625984,"Fallow",13.9923762099287,69.9648186593361,103.51134215074,102.542910203262
"0-10 cm","<1","Mix12","28",12.3334981623789,67.215507169749,"Fallow",13.9923762099287,69.9648186593361,88.1444150538727,97.2506885104129
"0-10 cm","<1","Mix4","36",11.8830662983425,61.0755816567481,"Fallow",13.9923762099287,69.9648186593361,84.9252916020834,91.110762997412
"0-10 cm","<1","Phacelia","12",14.6186179066835,70.4937231288188,"Fallow",13.9923762099287,69.9648186593361,104.475592189341,100.528904469483
"0-10 cm","<1","Mustard","8",14.8772122226873,71.5397954033259,"Fallow",13.9923762099287,69.9648186593361,106.32370084597,101.57497674399
"0-10 cm","<1","Fallow","42",11.959795370681,70.5081292552625,"Fallow",13.9923762099287,69.9648186593361,85.4736550193281,100.543310595926
"0-10 cm","<1","Clover","23",15.3588237745915,74.1878321767132,"Fallow",13.9923762099287,69.9648186593361,109.765657699321,104.223013517377
"0-10 cm","<1","Fallow","9",14.8452476572959,66.9386839189484,"Fallow",13.9923762099287,69.9648186593361,106.095258121791,96.9738652596123
"0-10 cm","<1","Mix4","27",12.9035300008345,75.2912402664271,"Fallow",13.9923762099287,69.9648186593361,92.2182894973795,105.326421607091
"0-10 cm","<1","Mix12","37",13.0497267485585,67.9660163999059,"Fallow",13.9923762099287,69.9648186593361,93.2631209508124,98.0011977405698
"0-10 cm","<1","Mix12","11",16.851046705588,71.7277590626104,"Fallow",13.9923762099287,69.9648186593361,120.430200366045,101.762940403274
"0-10 cm","<1","Mustard","26",13.2674505219207,70.7391222345762,"Fallow",13.9923762099287,69.9648186593361,94.8191380996917,100.77430357524
"0-10 cm","<1","Mustard","41",13.1542895600236,73.0834032548268,"Fallow",13.9923762099287,69.9648186593361,94.0104051139619,103.118584595491
"0-10 cm","<1","Mix4","10",15.86351891982,70.6910058308691,"Fallow",13.9923762099287,69.9648186593361,113.372587199046,100.726187171533
"0-10 cm","<1","Clover","39",12.1388875917278,71.2204937581696,"Fallow",13.9923762099287,69.9648186593361,86.7535821622227,101.255675098833
"0-10 cm","<1","Fallow","25",15.1720856018092,72.4476428037975,"Fallow",13.9923762099287,69.9648186593361,108.431086858881,102.482824144461
"0-10 cm","<1","Phacelia","38",13.689247131731,75.4227970099105,"Fallow",13.9923762099287,69.9648186593361,97.8336125783796,105.457978350574
"0-10 cm","<1","Phacelia","24",15.7249790724929,73.3055773327469,"Fallow",13.9923762099287,69.9648186593361,112.382477690492,103.340758673411
"0-10 cm","<1","Oat","40",13.4794051608579,72.2886366245392,"Fallow",13.9923762099287,69.9648186593361,96.3339246931711,102.323817965203
"0-10 cm","16-8","Mustard","8",0.274145667643365,1.31827957283599,"Fallow",0.192121771217712,1.132640338561,142.69370197129,100.185639234275
"0-10 cm","16-8","Clover","23",0.236853951317106,1.14407727105861,"Fallow",0.192121771217712,1.132640338561,123.283243651082,100.011436932498
"0-10 cm","16-8","Fallow","9",0,0,"Fallow",0.192121771217712,1.132640338561,0,98.867359661439
"0-10 cm","16-8","Phacelia","24",0.372924828394442,1.73847416401275,"Fallow",0.192121771217712,1.132640338561,194.108572927867,100.605833825452
"0-10 cm","16-8","Mix4","10",0.522587097849642,2.32875238892111,"Fallow",0.192121771217712,1.132640338561,272.008265662639,101.19611205036
"0-10 cm","16-8","Mix12","11",0.613981651376147,2.61345949175774,"Fallow",0.192121771217712,1.132640338561,319.579424801567,101.480819153197
"0-10 cm","16-8","Mustard","26",0.255179958246347,1.36056329951093,"Fallow",0.192121771217712,1.132640338561,132.821989214943,100.22792296095
"0-10 cm","16-8","Phacelia","12",0.0593215636822194,0.286059729618564,"Fallow",0.192121771217712,1.132640338561,30.8770647419216,99.1534193910576
"0-10 cm","16-8","Mix4","27",0.248932654594008,1.45250550089664,"Fallow",0.192121771217712,1.132640338561,129.570247565497,100.319865162336
"0-10 cm","16-8","Clover","13",0.419824854045037,2.10171118045047,"Fallow",0.192121771217712,1.132640338561,218.520187162595,100.969070841889
"0-10 cm","16-8","Oat","14",0.210761060466672,1.03743564887204,"Fallow",0.192121771217712,1.132640338561,109.701810019146,99.904795310311
"0-10 cm","16-8","Mix4","36",1.28164573915955,6.58729464532069,"Fallow",0.192121771217712,1.132640338561,667.100730456618,105.45465430676
"0-10 cm","16-8","Oat","22",0.583127139160197,2.50173009996455,"Fallow",0.192121771217712,1.132640338561,303.519551930113,101.369089761404
"0-10 cm","16-8","Mix12","37",0.284646945767527,1.48250759245636,"Fallow",0.192121771217712,1.132640338561,148.159651018918,100.349867253895
